Date,Name,Year,Letterboxd URI,Rating
2019-07-14,Get Out,2017,https://boxd.it/eOCm,3.5
2019-07-14,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2019-07-14,Black Panther,2018,https://boxd.it/8MHs,3
2019-07-14,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2019-07-14,Deadpool,2016,https://boxd.it/9fOC,3
2019-07-14,The Truman Show,1998,https://boxd.it/18U8,4
2019-07-14,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2019-07-14,It,2017,https://boxd.it/bC8e,3.5
2019-07-14,John Wick,2014,https://boxd.it/7dEc,3
2019-07-14,"I, Tonya",2017,https://boxd.it/dzR0,3.5
2019-07-14,Forrest Gump,1994,https://boxd.it/728,4
2019-07-14,A Quiet Place,2018,https://boxd.it/fVJQ,4
2019-07-15,The Breakfast Club,1985,https://boxd.it/27q4,3.5
2019-07-15,The Disaster Artist,2017,https://boxd.it/cTqc,4
2019-07-15,Back to the Future Part II,1989,https://boxd.it/2aYI,3
2019-07-15,Edge of Tomorrow,2014,https://boxd.it/4pD0,2.5
2019-07-15,Life of Pi,2012,https://boxd.it/37pC,3.5
2019-07-15,Now You See Me,2013,https://boxd.it/2Bsu,3
2019-07-15,Child's Play,1988,https://boxd.it/1VTo,3.5
2019-07-15,Saw,2004,https://boxd.it/2aWW,3.5
2019-07-15,The 40 Year Old Virgin,2005,https://boxd.it/21hK,3.5
2019-07-15,The Mask,1994,https://boxd.it/29rS,3.5
2019-07-15,The Dark Knight,2008,https://boxd.it/2b0k,4
2019-07-15,Thor: Ragnarok,2017,https://boxd.it/8MHi,3
2019-07-15,Django Unchained,2012,https://boxd.it/2cCk,4
2019-07-15,Us,2019,https://boxd.it/gnV6,3.5
2019-07-15,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2019-07-15,Baby Driver,2017,https://boxd.it/bhF2,3.5
2019-07-15,The Lion King,1994,https://boxd.it/201Q,3
2019-07-15,The Avengers,2012,https://boxd.it/1xFW,4
2019-07-15,Gone Girl,2014,https://boxd.it/6hQu,3
2019-07-15,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2019-07-15,Iron Man,2008,https://boxd.it/28dA,3.5
2019-07-15,Spider-Man 2,2004,https://boxd.it/2a88,3.5
2019-07-15,Doctor Strange,2016,https://boxd.it/8MH8,3
2019-07-15,Murder Mystery,2019,https://boxd.it/iEBm,1.5
2019-07-15,Ant-Man,2015,https://boxd.it/3vmW,2.5
2019-07-15,Captain America: The First Avenger,2011,https://boxd.it/28b0,3.5
2019-07-15,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,3
2019-07-15,Incredibles 2,2018,https://boxd.it/7IPg,3
2019-07-15,Logan,2017,https://boxd.it/7Piy,3
2019-07-15,The Incredibles,2004,https://boxd.it/1XLm,3
2019-07-15,Up,2009,https://boxd.it/1OEc,3.5
2019-07-15,From Dusk Till Dawn,1996,https://boxd.it/29HQ,3.5
2019-07-16,This Is the End,2013,https://boxd.it/3GB4,3
2019-07-16,22 Jump Street,2014,https://boxd.it/5Fvy,3
2019-07-16,Saw II,2005,https://boxd.it/2aRs,3
2019-07-16,Saw III,2006,https://boxd.it/2aRC,2
2019-07-16,Saw IV,2007,https://boxd.it/29Sa,2.5
2019-07-16,Saw V,2008,https://boxd.it/1SMa,2.5
2019-07-16,Saw VI,2009,https://boxd.it/1A2y,3
2019-07-16,Jigsaw,2017,https://boxd.it/9sDs,2.5
2019-07-17,mid90s,2018,https://boxd.it/fxIa,3.5
2019-07-17,The Departed,2006,https://boxd.it/28MA,5
2019-07-17,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3
2019-07-17,Back to the Future,1985,https://boxd.it/2b8e,3.5
2019-07-17,Back to the Future Part III,1990,https://boxd.it/2aTS,3
2019-07-18,Child's Play 2,1990,https://boxd.it/1Uqq,2.5
2019-07-18,Bride of Chucky,1998,https://boxd.it/1SJU,2
2019-07-18,Child's Play 3,1991,https://boxd.it/1Uqg,2
2019-07-18,Seed of Chucky,2004,https://boxd.it/1UgA,1.5
2019-07-18,Cult of Chucky,2017,https://boxd.it/dKOm,3
2019-07-18,Curse of Chucky,2013,https://boxd.it/5b1y,3
2019-07-18,Beats,2019,https://boxd.it/mgEk,2.5
2019-07-18,Step Brothers,2008,https://boxd.it/1SsE,3.5
2019-07-18,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3
2019-07-18,Elf,2003,https://boxd.it/1VyK,3
2019-07-18,The Other Guys,2010,https://boxd.it/1rtq,3
2019-07-18,Old School,2003,https://boxd.it/1TmM,3
2019-07-18,The House,2017,https://boxd.it/bAHw,2
2019-07-18,Get Hard,2015,https://boxd.it/7Axe,2
2019-07-18,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
2019-07-18,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2019-07-18,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2019-07-18,Unbroken,2014,https://boxd.it/6IaA,3.5
2019-07-18,Limitless,2011,https://boxd.it/Aly,3.5
2019-07-24,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2019-07-24,Unfriended,2014,https://boxd.it/8sXg,2.5
2019-07-24,Unfriended: Dark Web,2018,https://boxd.it/ifs0,3
2019-07-24,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,3
2019-07-25,Hancock,2008,https://boxd.it/1Zv6,2
2019-07-25,A Million Ways to Die in the West,2014,https://boxd.it/5H9k,2.5
2019-07-25,Mad Max: Fury Road,2015,https://boxd.it/2DjO,3.5
2019-07-26,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2019-07-29,GoodFellas,1990,https://boxd.it/29FA,4.5
2019-07-29,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2019-07-29,The Hangover,2009,https://boxd.it/1GjK,3.5
2019-07-29,The Hangover Part II,2011,https://boxd.it/PZI,2.5
2019-07-29,The Hangover Part III,2013,https://boxd.it/3GNY,3
2019-08-02,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4.5
2019-08-04,Inception,2010,https://boxd.it/1skk,3.5
2019-08-07,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.5
2019-08-07,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,0.5
2019-08-11,Inside Out,2015,https://boxd.it/4KHC,2.5
2019-08-11,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2019-08-11,Spider-Man,2002,https://boxd.it/2a8i,3
2019-08-11,Eighth Grade,2018,https://boxd.it/hDMG,3.5
2019-08-11,Aquaman,2018,https://boxd.it/9ru0,2.5
2019-08-11,It Follows,2014,https://boxd.it/87wo,3.5
2019-08-11,Groundhog Day,1993,https://boxd.it/2b3e,3
2019-08-22,The Martian,2015,https://boxd.it/8SeG,4
2019-08-26,Good Boys,2019,https://boxd.it/iW1G,2
2019-08-26,Game Night,2018,https://boxd.it/fRtu,2
2019-08-27,Fury,2014,https://boxd.it/6JwC,3
2019-08-27,Kick-Ass 2,2013,https://boxd.it/hqu,2
2019-08-27,Kick-Ass,2010,https://boxd.it/1zaQ,3
2019-08-29,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2019-08-29,Instant Family,2018,https://boxd.it/hHpQ,3
2019-08-30,Selma,2014,https://boxd.it/8jak,3.5
2019-09-01,War Dogs,2016,https://boxd.it/9SlO,3.5
2019-09-07,It Chapter Two,2019,https://boxd.it/h10u,2
2019-09-18,Whiplash,2014,https://boxd.it/7bQA,5
2019-09-30,Between Two Ferns: The Movie,2019,https://boxd.it/lw9g,2.5
2019-10-06,Joker,2019,https://boxd.it/h4cS,4
2019-10-11,Southpaw,2015,https://boxd.it/9Phu,3
2019-12-19,Parasite,2019,https://boxd.it/hTha,4.5
2020-02-15,Snowpiercer,2013,https://boxd.it/3Icg,3.5
2020-02-20,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3
2020-02-20,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,3
2020-02-20,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3
2020-02-20,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,2.5
2020-02-20,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3
2020-02-20,Moneyball,2011,https://boxd.it/glS,4.5
2020-02-29,Insidious,2010,https://boxd.it/H4k,3
2020-03-03,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2020-03-17,Isle of Dogs,2018,https://boxd.it/dZrW,4
2020-04-11,Good Time,2017,https://boxd.it/fcFu,4
2020-04-19,The Platform,2019,https://boxd.it/mUm6,3
2020-05-01,Se7en,1995,https://boxd.it/29zs,4.5
2020-05-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3
2020-05-26,The Last Dance,2020,https://boxd.it/pVfc,4
2020-06-21,Fight Club,1999,https://boxd.it/2a9q,5
2020-06-21,Silver Linings Playbook,2012,https://boxd.it/2TTo,4
2020-06-30,Ratatouille,2007,https://boxd.it/27ww,3.5
2020-07-03,Hell or High Water,2016,https://boxd.it/bfGM,4
2020-07-03,Interstellar,2014,https://boxd.it/4VZ8,4
2020-07-03,The Irishman,2019,https://boxd.it/dYOq,5
2020-07-03,La La Land,2016,https://boxd.it/a5fa,4.5
2020-07-03,Yesterday,2019,https://boxd.it/iF7M,3
2020-07-06,Drive,2011,https://boxd.it/IG,4
2020-07-06,Taxi Driver,1976,https://boxd.it/2b8y,5
2020-07-06,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2020-07-14,Star Wars,1977,https://boxd.it/72s,4
2020-07-14,42,2013,https://boxd.it/3GBo,3.5
2020-07-15,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2020-07-22,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2020-07-23,Thor,2011,https://boxd.it/1WQU,2.5
2020-07-23,Happy Death Day,2017,https://boxd.it/fDz4,3
2020-07-23,50/50,2011,https://boxd.it/10Tw,3
2020-07-23,Talladega Nights: The Ballad of Ricky Bobby,2006,https://boxd.it/1XYq,3
2020-07-23,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,2.5
2020-08-05,Catch Me If You Can,2002,https://boxd.it/29VS,4
2020-08-22,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3.5
2020-10-14,Boogie Nights,1997,https://boxd.it/23um,4.5
2020-12-22,Saw 3D,2010,https://boxd.it/Znk,2.5
2021-01-12,The Queen's Gambit,2020,https://boxd.it/s1Ym,3.5
2021-01-14,Holmes & Watson,2018,https://boxd.it/f6tM,1
2021-01-14,Superbad,2007,https://boxd.it/20hO,4
2021-01-25,Moonrise Kingdom,2012,https://boxd.it/2Wng,4.5
2021-01-31,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,3.5
2021-03-10,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3.5
2021-03-17,Zodiac,2007,https://boxd.it/27MO,4
2021-03-17,Dazed and Confused,1993,https://boxd.it/1Ylk,3.5
2021-03-24,Shazam!,2019,https://boxd.it/8WBu,2.5
2021-03-27,Shutter Island,2010,https://boxd.it/1U82,4.5
2021-03-27,The Art of Self-Defense,2019,https://boxd.it/hf5y,4
2021-03-27,Pineapple Express,2008,https://boxd.it/1WRS,3.5
2021-03-27,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2021-03-28,Spider-Man: Far from Home,2019,https://boxd.it/fegG,3
2021-03-28,Sound of Metal,2019,https://boxd.it/i7Q4,4
2021-03-28,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,2.5
2021-03-30,Bad Trip,2021,https://boxd.it/lgRG,3.5
2021-04-11,Glass,2019,https://boxd.it/g3uO,3
2021-04-17,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3
2021-04-20,Reservoir Dogs,1992,https://boxd.it/2agc,5
2021-04-20,Love and Monsters,2020,https://boxd.it/lJ6E,3
2021-04-26,Words on Bathroom Walls,2020,https://boxd.it/j1iW,3
2021-04-29,Uncut Gems,2019,https://boxd.it/gXGc,4.5
2021-04-30,Knives Out,2019,https://boxd.it/jWEA,4
2021-04-30,The Nice Guys,2016,https://boxd.it/94Hg,4
2021-04-30,The Big Short,2015,https://boxd.it/ajZw,4
2021-05-02,Avatar,2009,https://boxd.it/1Efm,3.5
2021-05-05,Get Smart,2008,https://boxd.it/1Tig,3
2021-05-06,The Mitchells vs. The Machines,2021,https://boxd.it/i7xm,3.5
2021-05-07,Nightcrawler,2014,https://boxd.it/780m,4
2021-05-09,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,2.5
2021-05-09,Return of the Jedi,1983,https://boxd.it/27Vm,3.5
2021-05-15,Tower Heist,2011,https://boxd.it/iQI,2.5
2021-05-24,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,2.5
2021-06-27,The Belko Experiment,2016,https://boxd.it/blCw,3.5
2021-07-01,Luca,2021,https://boxd.it/ipjC,3
2021-07-01,Soul,2020,https://boxd.it/ioLA,4
2021-07-01,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3.5
2021-07-09,Loki,2021,https://boxd.it/sbHg,3.5
2021-07-09,The Prestige,2006,https://boxd.it/293w,5
